Date,MSFT,F,JPM,GOOG,HPQ,C,HOG,VZ,AAPL,IBM,T,CSCO,BAC,INTC,AMD,SNE,NVDA,AMZN,MS,BK
03/06/2020,160.3130341,6.489999771,104.2116699,1298.410034,20.64303017,59.29362869,26.13515472,54.47075653,71.80884552,122.6324692,34.51216888,38.33278656,25.19826126,54.68489456,48.59000015,63.11999893,265.7606201,1901.089966,40.88510132,37.10397339
03/09/2020,149.4481964,5.900000095,90.09564972,1215.560059,18.28079605,49.70485306,23.48072433,53.47464371,66.1293335,113.1083527,32.33127594,36.67118073,21.49349976,49.86061859,43.27000046,58.52999878,245.1822357,1800.609985,36.64414978,34.0631485
03/10/2020,159.6680756,6.260000229,97.09579468,1280.390015,19.25984764,53.77839661,25.22705841,54.13552856,70.89207458,119.790596,33.41240692,38.71920395,23.14006233,52.92971802,45.38000107,60.33000183,260.8057861,1891.819946,38.59850693,35.62254333
03/11/2020,152.4347839,5.900000095,92.52545929,1215.410034,18.84136772,49.1436615,23.02168655,52.51683044,68.42995453,113.2619705,32.17284012,35.79207611,22.21877098,50.65486145,45.70000076,57.79000092,246.2111511,1820.859985,36.02852631,33.33217621
03/12/2020,137.9781342,5.349999905,84.89857483,1114.910034,17.04092789,41.85773849,20.31736183,49.03996658,61.67217636,98.70698547,29.19974136,32.07279205,20.10176277,44.65393829,39.00999832,52.56999969,216.0828094,1676.609985,30.59542274,28.77093124
03/13/2020,157.5943451,5.630000114,100.190918,1219.72998,16.71976662,49.38555908,23.67032433,51.88466644,69.06101227,103.6418533,32.12623978,36.36204529,23.6791153,53.37096405,43.90000153,56.31999969,240.5870514,1785,36.64414978,33.26395416
03/16/2020,134.3664703,5.010000229,85.19747162,1084.329956,14.07263184,39.85483551,20.57681656,48.83882904,60.17652512,95.12584686,29.64710236,32.56547928,20.03315544,43.7420311,38.70999908,51.68000031,196.1937103,1689.150024,30.9276619,28.43955803
03/17/2020,145.4297333,5.010000229,90.40420532,1119.800049,14.01423931,38.94530487,22.74227333,52.0187645,62.82249069,102.3937378,31.44587708,34.29470444,21.54250526,49.10560608,41.88000107,55.20000076,217.0418243,1807.839966,33.01882553,29.2095108
03/18/2020,139.307724,4.5,80.88746643,1096.800049,12.75879669,35.24913406,20.11778069,52.02833939,61.2845993,99.41745758,30.61638832,35.85969925,20.376194,46.68366241,39.11999893,54.79000092,202.6069946,1830,30.04820442,28.03021622
03/19/2020,141.5997467,4.46999979,82.24699402,1115.290039,14.01423931,38.35508347,18.65085983,51.35787201,60.81503296,96.33555603,29.03197861,36.42966461,20.7780304,45.04615021,39.81999969,55.40000153,212.7463226,1880.930054,30.21432495,29.23875046
03/20/2020,136.2814331,4.329999924,80.5114212,1072.319946,13.57629395,36.82629776,16.18603134,49.61465454,56.95415497,91.58310699,26.51556206,34.39130783,19.27848434,44.93829727,39.61000061,53.06000137,205.5339203,1846.089966,28.99285126,28.33234787
03/23/2020,134.9220886,4.010000229,76.20140076,1056.619995,13.3329916,34.24284363,15.30787468,48.18751907,55.74421692,90.98784637,24.94979477,33.42525864,17.72013283,48.61533356,41.63999939,52.90000153,212.466629,1902.829956,27.1753006,26.79244041
03/24/2020,147.1859436,4.949999809,85.26496887,1134.459961,15.05557537,39.34202194,19.43920517,47.88101578,61.33677292,101.2704391,26.18004227,37.2894516,20.61141396,51.38046646,46.22000122,57,248.9183044,1940.099976,32.46183395,30.21337509
03/25/2020,145.7769928,5.389999866,88.44686127,1102.48999,14.96798611,40.50312042,20.51694298,47.83312607,60.99888611,101.6256638,26.46896362,36.39102554,20.68002129,50.26264191,44.63000107,57.68000031,245.36203,1885.839966,33.2142601,30.83713531
03/26/2020,154.8954926,5.25,94.60814667,1161.75,17.4594059,44.52827835,20.70654488,51.28124619,64.20883179,108.3847046,28.51937675,39.20222855,22.26777458,54.45936966,47.5,60.5,256.9698181,1955.48999,34.89500427,32.16262436
03/27/2020,148.5353546,5.190000057,87.86833191,1110.709961,16.40834045,42.38023758,17.76272202,50.54373169,61.55043793,103.7186584,27.81105042,37.50198364,21.17006683,51.35104752,46.58000183,59.31999969,252.4645691,1900.099976,33.23379898,31.71430016
